word,reading,meaning,,source,,related
形息名彰,けいそくめいしょう,後の時代に名が残ること。 「形息」は肉体がなくなること。 「名彰」は名が世に知られること。 肉体がなくなっても名が世に知られるという意味から。 「形息みて名影る」とも読む。,,『呂氏春秋』「上徳」,,
髻中明珠,けいちゅうみょうしゅ,隠された奥義のたとえ。 「髻」は束ねた髪。 法華経で説かれる七つのたとえ話の一つで、転輪聖王は束ねた髪の中に隠した宝珠を大きな功績がある者にだけ与えたとされている。,,『法華経』「安楽行品」,,
形直影正,けいちょくえいせい,心の善悪が行動に表れること。 または、原因と結果が相反することがないことのたとえ。 「形」と「影」はどちらも本体とそれから現れるもののたとえで、原因と結果のたとえ。または、自分と他人のたとえ。 まっすぐなものは、影もまっすぐになるという意味から。 「形直ければ影正し」とも読む。,,『列子』「説符」,,形影相随（けいえいそうずい） 形影相同（けいえいそうどう）
軽薄才子,けいはくさいし,軽率で調子がよく、ずるがしこいこと。 「軽薄」は調子がよく、心がこもっていないこと。 「才子」は才能があるという意味で、ここでは反語の意味で使われる。,,,,
瓊葩綉葉,けいはしゅうよう,美しい花と美しい葉。 「瓊葩」は宝石のように美しい花。 「綉葉」は美しい葉のこと。 「瓊葩繍葉」とも書く。,瓊葩繍葉（けいはしゅうよう）,,,
恵風和暢,けいふうわちょう,心地よい風が吹いて、穏やかでなごやかにすること。 「恵風」は生物を育む恵の風。 「和暢」は穏やかでなごやかなこと。または、穏やかでなごやかにすること。,,王義之「蘭亭集序」,,
軽便信用,けいべんしんよう,手間がかからずに得られる信用のこと。 信用を得るには、長い期間の努力の積み重ねるしかないが、これは便利で簡単に得られる信用をいう。,,,,
傾盆大雨,けいぼんのたいう,激しく降る雨、豪雨のたとえ。 「盆」は水や酒を入れるための大きい器、鉢。 鉢をひっくり返したように見えるほどの雨ということから。,,杜甫「白帝」,,
和洋折衷,わようせっちゅう,日本と西洋の様式を適度に取り入れて混ぜ合わせること。 「和洋」は日本と西洋、「折衷」は様々なものの中から良い所を選び、両極端な部分を捨ててうまく調和させること。,,,準２,
兄友弟恭,けいゆうていきょう,兄は弟に兄弟としての愛情を尽くし、弟は兄を慎み敬うこと。 「友」は兄弟としての愛情、友愛。 「恭」は敬って慎むこと、恭敬。 「兄は友、弟は恭」とも読む。,,『史記』「五帝紀」,,
勁勇無双,けいゆうぶそう,並外れて武術にすぐれ、勇ましい様子。 「勁勇」は勇気があって、力強いこと。 「無双」は比べるものが存在しないこと。 「勁」は「きょう」とも、「無」は「む」とも読む。,,,,
傾揺解弛,けいようかいし,気持ちが落ち着かず不安で、やるべきことがいい加減になること。 「傾揺」は不安で落ち着きがないこと。 「解弛」は怠ること。 「傾揺懈弛」とも書く。,傾揺懈弛（けいようかいし）,曽鞏「送李材叔知柳州序」,,
形容辺幅,けいようへんぷく,容姿、見た目。 「形容」は容姿、容貌。 「辺幅」は布や織物のへりということから、外からの見た目、外見。,,,,
啓沃之功,けいよくのこう,主君の手助けをして、功績をあげること。 「啓沃」は誠意をもって主君に仕えて、よい策略を助言すること。 「功」は功績のこと。,,『書経』「説命・上」,,
撃柝一声,げきたくいっせい,拍子木を打つこと。 または、合図すること。 「撃柝」は拍子木を打ち鳴らして、夜に見回りをすること。または、その人、夜番のこと。,,,,
撃排冒没,げきはいぼうぼつ,一切を顧みずに、徹底的に攻撃すること。 「撃排」は撃退すること。 「冒」は覆って押さえつけること。 「没」は沈めること。,,柳宗元「陸文通先生墓表」,,
激憤慷慨,げきふんこうがい,激しく怒って嘆くこと。 「激憤」は激しく怒ること。または、その怒り。 「慷慨」は怒り嘆くこと。,,,,悲憤慷慨（ひふんこうがい）
屐履之間,げきりのあいだ（げきりのかん）,非常にこまかいこと。 「屐」は木の下駄のような履物。 「履」は靴という意味。 履物を履いて歩く時間という意味から。,屐履之間（げきりのかん）,『晋書』「謝玄伝」,,
腕白小僧,わんぱくこぞう,いたずら好きで元気な子どものこと。,,,,
下化衆生,げけしゅじょう,菩薩が全ての人々を救い悟りへ導くこと。 仏教の言葉で、上を向けばさらに高い次元の悟りを目指し、下を向けば全ての人々を救おうとするということから。,,『摩訶止観』,,
解脱幢相,げだつどうそう,僧侶が着る服装、袈裟のこと。 「解脱」は煩悩の迷いから開放されて悟りの境地に達すること。 「幢相」は寺の庭に立て、小さな旗のついた幢に袈裟の形が似ているということから。 「解脱幢相衣」を略した言葉。 「解脱同相」とも書く。,解脱同相（げだつどうそう）,,,
譎詭不経,けっきふけい,大げさなことばかり言って人を騙し、道理に背くこと。 または、人を騙す道理に合わない言葉。 「譎詭」は不思議なこと。 「不経」は道理に合わないこと。,,『漢書』「王尊伝・賛」,,怪誕不経（かいたんふけい）
血気方剛,けっきほうごう,働き盛りの年頃になると、精力が盛んになるということ。 「血気」は心身の元気、精力。 「方」はまさに、ちょうど。 「剛」は活発や、つよいという意味。 君子の戒めとして、孔子が説いた言葉から。 「血気方に剛し」とも読む。,,『論語』「季氏」,,
譎詐百端,けっさひゃくたん,嘘や裏切りが非常に多いこと。 「譎詐」は嘘や裏切り。 「百端」は数が多いことのたとえ。,,,,
齧指痛心,げっしつうしん,親孝行の情がこの上なく厚いことのたとえ。 中国の春秋時代の曽参は、母親が自宅で指をかむと、胸騒ぎがしてどこにいてもすぐに帰宅する親孝行者だったという故事から。 「指を齧みて心を痛ましむ」と読む。,,『太平御覧』三七○「孝子伝」,,噬指棄薪（ぜいしきしん）
欠席裁判,けっせきさいばん,本人がいない場所で、その人に関係する大切なことを、他の人が勝手に決めることのたとえ。 もとは、被告人が欠席の状態で行われる裁判のこと。,,,,
涓埃之功,けんあいのこう,非常に小さな功績と、その功績のための非常に小さな苦労のこと。 「涓」はしずく。 「埃」はほこり。 どちらも非常に小さいことのたとえ。 自身の功績を謙っていう言葉。,,『周書』,,
言外之意,げんがいのい,言葉の隠された真意のこと。 「言外」は直接表現されていない、隠された言葉の意味ということ。,,『石林詩話』「下」,,
蒹葭玉樹,けんかぎょくじゅ,愚かな人が、富貴な親戚の勢いと力を借りること。 または、勢いのある親戚のおかげで繁栄することを軽蔑していう言葉。 または、それを謙って言う言葉。 「蒹葭」は成長しきっていない、オギとアシのことで、身分の低い人のたとえ。 「玉樹」は宝石のように美しい木のことで、身分が高く、富のある人のたとえ。 植物のオギとアシが、宝石のように美しい木に寄りかかるという意味から。 「蒹葭玉樹に倚る」を略した言葉。,,『世説新語』「容止」,,
喧嘩囂躁,けんかごうそう,慌しく騒々しいこと。 または、その様子。 「喧嘩」は騒々しいこと。 「囂躁」は騒々しく慌しいこと。 似た意味の言葉を重ねて強調した言葉。 「喧嘩」は「喧譁」とも、「囂躁」は「嗷騒」とも書く。,喧譁囂躁（けんかごうそう） 喧嘩嗷騒（けんかごうそう） 喧譁嗷騒（けんかごうそう）,,,
懸河瀉水,けんがしゃすい,流れるような話し方や、文章を言い表す言葉。 「懸河」は傾斜が激しい場所を、激しく流れている川。または、滝のこと。 「瀉」は流れ込むこと。 「懸河水を瀉ぐ」とも読む。,,『世説新語』「賞誉」,,懸河之弁（けんがのべん）
和盤托出,わばんたくしゅつ,包み隠さずにすべて見せること。 「盤」は食べ物をのせる台のこと。 客に食べ物を出すときに、食べ物をのせた台も一緒に出すとの意から。,,『史記』「孝文紀」,,
元気溌剌,げんきはつらつ,生命力が満ち溢れていて、生き生きとしていること。 「元気」は事をなそうとする気持ちのこと。 「溌剌」は魚が飛び跳ねる様子のことから、生き生きとしていることのたとえ。 「元気溌溂」とも書く。,元気溌溂（げんきはつらつ）,,,生気溌溂（せいきはつらつ）
言近旨遠,げんきんしえん,日常的な言葉でも、深い意味が含まれているということ。 「言近」は日常使われるような、身近で分かりやすい言葉。 「旨遠」は含まれている意味が深いこと。 「言近くして旨遠し」とも読む。,,『孟子』「尽心・下」,,
言語漏洩,げんごろうせつ（げんごろうえい）,秘密が外部に漏れること。,言語漏洩（げんごろうえい）,『春秋左氏伝』「襄公一四年」,,
剣山刀樹,けんざんとうじゅ,地獄にあるとされている、剣の山と刀の林のこと。 「剣山」は刃を上に向けて立てた山のこと。 「刀樹」は刀が葉になっている木がたくさん生えている林のこと。,,,,
兼弱攻昧,けんじゃくこうまい,弱いものが併合して、道理に合わないものを攻撃すること。 また、弱いものが協力して、政治が乱れ衰えた国を討ち果たすこと。 「昧」は、乱れていること。道理に合わないこと。 「弱を兼ね昧を攻む」とも読む。,,『書経』,,
懸車致仕,けんしゃちし,公の仕事から退いてのんびりと生活すること。 または、七十歳のこと。 「懸車」は車をつるしておくこと。 「致仕」は官職を辞めること。または、七十歳のこと。 中国の前漢の薛広徳は、七十歳になり官職を辞めるときに天子から賜った馬車を、高く吊るしてその名誉を子孫に伝えたという故事から。 「車を懸げて致仕す」とも読む。 「致仕懸車」ともいう。,致仕懸車（ちしけんしゃ）,『白虎通徳論』「致仕」,,
懸鶉楽道,けんじゅんらくどう,粗末な姿で、貧しくも清らかな生活を楽しむこと。 「懸鶉」はぶら下げたうずらのことで、すそがあがった衣服に見えるということから、破れた粗末な衣服のたとえ。 「楽道」は聖人と賢者の道を守りながら楽しむこと。 「懸鶉、道を楽しむ」とも読む。,,『荀子』「大略」,,
見性自覚,けんしょうじかく,自身の生まれつき持っている性質を悟ること。 「見性」は自身の本質を見極めること。,,,,
現状打破,げんじょうだは,現在の状態を打ち破ること。 「現状」は今現在の状態。 「打破」は障害になるものを打ち破ること。,,,,局面打開（きょくめんだかい）
現身説法,げんしんせっぽう,仏や菩薩がこの世に現れて、人々を救うために様々な姿に変わって法を説くこと。 または、指導者が現在の姿や体験したことを見せて、人を教え導くこと。 「現身」は仏や菩薩が人々を救うために、様々な姿に変わって現れること。 「説法」は仏の教えを説くこと。,,『楞言経』「六」,,
倹存奢失,けんそんしゃしつ,節約する人は生き残り、無駄遣いをする人は滅びるということ。 「倹は存し奢は失す」とも読む。,,白居易「杏為梁」,,
厳談酷促,げんだんこくそく,容赦無く借金を取り立てること。 「厳談」と「酷促」はどちらも激しい取り立てのことで、似た意味の言葉を重ねて強調した言葉。,,,,
堅白異同,けんぱくいどう,辻褄の合わない無茶な論理を展開すること。詭弁。 中国の戦国時代の趙の公孫竜の詭弁のことで、堅くて白い石を見ると白いことはわかるが堅さは分からない、手で触って堅さを調べると色は分からないので、堅くて白い石は存在しないというもの。,,,,堅石白馬（けんせきはくば） 堅白同異（けんぱくどうい） 白馬比馬（はくばひば）
犬馬之心,けんばのこころ,主君への忠誠心のこと。 犬や馬が飼い主に示す忠誠心ということから。 自身の忠誠心を謙遜していう言葉。,,『史記』「三王世家」,,狗馬之心（くばのこころ）
権謀術策,けんぼうじゅっさく,他人を騙し貶める策略のこと。 「権謀」は状況にあわせた策略。 「術策」は策略のこと。 特に社会や組織などの集団の中で他者を貶めて、自分の都合がいい状況に仕向け、地位や評価を上げる策略のこと。,,,,奸智術策（かんちじゅっさく） 権謀術数（けんぼうじゅっすう） 手練手管（てれんてくだ）
牽羊悔亡,けんようかいぼう,本性のままにさせず、正しい方向を教えて導けば、後悔するような出来事にあわなくてすむということ。 「牽羊」は羊を引っ張るという意味で、羊は本能的に他の羊とぶつかって、角が絡むまで前進し続けるので、羊飼いは羊を導く必要があるということ。 「悔亡」は後悔することがなくなるということ。 「羊を牽けば悔い亡びん」とも読む。,,『易経』「夬」,,
落月屋梁,らくげつおくりょう,友人を思う切ない心情のこと。 「落月」は沈んでいく月のこと。 「屋梁」は屋根を支えるはり、または屋根のこと。 中国の詩人杜甫が江南に流された友人の李白を思い、「家の屋根に落ちかかる月に君の面影を見た」と詩を詠じたことから。 「屋梁落月」ともいう。,屋梁落月（おくりょうらくげつ）,杜甫「夢李白」,準１,空梁月落（くうりょうげつらく）
権理通義,けんりつうぎ,様々なものに当てはまる原理で、人が生まれた時から持っている権利。 「権理」は権利のこと。 「通義」は世間一般に受け入れられている道理。,,,,
好学尚武,こうがくしょうぶ,学問と武術のどちらも好んで重んじること。 「好学」は学問を好むこと。 「尚武」は武術を重んじること。,,,,文武一途（ぶんぶいっと） 文武兼備（ぶんぶけんび） 文武両道（ぶんぶりょうどう）
恒河沙数,ごうがしゃすう,極めて数が多く、数を数えることができないことのたとえ。 「恒河」はインドのガンジス川のこと。 「沙数」は砂の粒の数。 ガンジス川の砂のように多いということから。 「恒河沙」や「恒沙」とも略す。,,,,
黄花晩節,こうかばんせつ,年老いても、気高く立派な信念を守り続けることのたとえ。 または、年老いても健康なことのたとえ。 長寿を祝う言葉としても使われる。 「黄花」は菊の花のこと。 冬の寒い日の霜にも負けずに菊の花が咲くということから。,,韓琦「九日水閣」,,
業果法然,ごうかほうねん,前世での行いの報いを、現世で受けるのは当然のことであるということ。 「業果」は前世の行いが招く報い、業因。 「法然」はありのままの姿で存在していること。,,,,
傲岸無礼,ごうがんぶれい,人を見下して、礼儀に外れている様子。 「傲岸」はいばり人を見下すこと。 「無礼」は礼儀に外れている様子。,,,,傲岸不屈（ごうがんふくつ） 傲岸不遜（ごうがんふそん） 傲慢不遜（ごうまんふそん） 傲慢無礼（ごうまんぶれい） 傍若無人（ぼうじゃくぶじん）
綱紀頽弛,こうきたいし,国家や社会の法律や秩序が廃れてゆるむこと。 「綱紀」は大づなと小づなのことで国家を治める大法と細則。 「頽弛」は廃れてゆるむということ。,,,,綱紀廃弛（こうきはいし）
落筆点蠅,らくひつてんよう,失敗をうまく取り繕うこと。 「点蠅」は蠅（はえ）の絵を描くことで、筆を落とした際の汚れをうまく蠅の絵にするという意味。 三国時代、呉の曹不興が孫権の命で絵を描いていたときに、誤って筆を落とした際の汚れを蠅に書き換えてうまく処理した故事から。,,『三国志』「呉志・趙達伝・注」,準１,
恒久平和,こうきゅうへいわ,平和な状態がいつまでも続くこと。 「恒久」はいつまでも変わらないこと。,,,,
控馭之術,こうぎょのじゅつ,自由を制限して、思いのままに操ること。 「控馭」は馬を思い通りに操ること。 「控御之術」とも書く。,控御之術（こうぎょのじゅつ）,『晋書』「慕容垂載記」,,
抗拒不承,こうきょふしょう,相手の依頼や、要求を激しく拒否して、認めないこと。 「抗」は抵抗すること。 「拒」は拒否すること。 「抗拒して承けず」とも読む。,,蘇轍「為兄軾下獄上書」,,
攻苦食啖,こうくしょくたん,粗食を受け入れて、辛い状況を我慢すること。 または、苦学すること。 「攻苦」は苦しく辛いことと戦うこと。または、苦学すること。 「食啖」は味の無い食べ物を食べること。 「攻苦啖を食らう」とも読む。 「攻苦食淡」とも書く。,攻苦食淡（こうくしょくたん）,,,
康衢通逵,こうくつうき,主になる道、大通り、本道。 または、正しい筋道や方法のこと。 「康衢」はあらゆる方向に通じている大通り。 「通逵」は街道のこと。,,,,
高潔無比,こうけつむひ,他と比べられないほどに、心の品格が高く、清らかな様子。 「高潔」は心に品格があり、清らかなこと。 「無比」は比べられるものが存在しないこと。,,,,
剛健質朴,ごうけんしつぼく,飾り気がなく素直で、心も体も力強く頼もしいこと。 「剛健」は心と体のどちらも力強く頼もしいこと。 「質朴」は飾り気がなく素直なこと。 「質朴剛健」ともいう。,質朴剛健（しつぼくごうけん）,,,剛毅木訥（ごうきぼくとつ） 質実剛健（しつじつごうけん） 質実朴素（しつじつぼくそ）
嗷嗷待哺,ごうごうたいほ,空腹で食べ物を求める様子。 または、災害に見舞われた人が、心苦しい気持ちで救援を待つことのたとえ。 「嗷嗷」は鳥の雛の哀しい鳴き声。または、人々が嘆く声のたとえ。 「待哺」は餌が来るのを待つこと。 鳥の雛が親の鳥の口にある餌を待ち望んで騒がしく鳴く様子から。 「嗷嗷として哺を待つ」とも読む。,,皇甫冉「賦長道一絶送陸邃潜夫」,,
皎皎冽冽,こうこうれつれつ,清らかな様子。 「皎皎」は清らかな様子。または、分かりやすくはっきりしている様子。 「冽冽」は清らかで、少しの濁りもなく澄んでいること。または、寒気が厳しい様子。 朝の寒気のように清らかで、濁りもなく澄んでいる様子から。 「皓皓冽冽」とも書く。,皓皓冽冽（こうこうれつれつ） 皎々冽々（こうこうれつれつ） 皓々冽々（こうこうれつれつ）,,,
洛陽紙価,らくようのしか,著書の人気が出て、よく売れること。 「洛陽」は地名、「紙価」は紙の価格のこと。 左思の著した「三都賦」が大評判になって、人々が争うように書き写したために、紙が不足して高騰したという故事から。,,『晋書』「左思伝」,準１,
降志辱身,こうしじょくしん,境遇に慣れて目標を下げたために、人格を汚してしまうこと。 または、世間に合わせて態度を変えること。 「志を降し身を辱む」とも読む。,,『論語』「微子」,,
曠日持久,こうじつじきゅう,長い期間耐えること。 または、どうすることもできずに長い期間が経過すること。 「曠日」は長い期間が経過すること。または、なにもできずに時間が経過すること。 「持久」は長い時間耐え続けること。,,『戦国策』「趙策」,,
昂首闊歩,こうしゅかっぽ,威張って好き勝手に振舞うこと。 「昂首」は頭を上げること。 「闊歩」は好き勝手に歩くこと。 顔を上げて、両足を広げて気ままに歩くという意味から。,,,,横行闊歩（おうこうかっぽ） 横行跋扈（おうこうばっこ） 跳梁跋扈（ちょうりょうばっこ） 飛揚跋扈（ひようばっこ） 傍若無人（ぼうじゃくぶじん）
広宵大暮,こうしょうたいぼ,死んだ人の悲しみを嘆く言葉。 「広宵」はどこまでも広がる夜。 「大暮」はいつまでも続く夜。 夜がどこまでも広がり、いつまでも夜が明けないということから。 「広霄大暮」とも書く。,広霄大暮（こうしょうたいぼ）,『文選』陸機「挽歌詩」,,
傲世逸俗,ごうせいいつぞく,世間を軽く見て、世間から逃げること。 「傲世」はおごり高ぶり、世間を甘く見ること。 「逸俗」は世間から逃げること。 現実から逃避することをいう。,,,,
公孫布被,こうそんふひ,高い地位があるが、質素な生活をすること。 または、うわべだけの節約のこと。 「布被」は麻や木綿のつつましい掛け布団のこと。 売名のために、わざとらしく質素な生活を見せ付けることをいう。 中国の前漢の高官の公孫弘は、臣下は節約すべきといい、麻の布団で寝て、質素な食事をしていたが、汲黯が偽善的だと言ったという故事から。,,『史記』「平津公伝」,,
落花啼鳥,らっかていちょう,自然の風情のこと。 または、春の風情を表す言葉。,,孟浩然「春暁」,,
荒怠暴恣,こうたいぼうし,気持ちが荒れていて、わがままな様子。 「荒怠」は気持ちが荒れていて、やらなければならないことを怠けること。 「暴恣」は暴力的で自分勝手なこと。,,,,
豪胆無比,ごうたんむひ,他と比べられないほどに、度胸があり、思い切った行動をする様子。 「豪胆」は何事にも動じない度胸があること。 「無比」は他と比べることのできるものが存在しないこと。,,,,
口誅筆伐,こうちゅうひつばつ,言葉や文章を使って、相手を非難して攻撃すること。 「誅」と「伐」はどちらも罪人を責めて攻撃すること。,,,,
荒唐之言,こうとうのげん,根拠の無いでたらめな話。 「荒唐」は根拠がなく、意味の無い話。,,『荘子』「天下」,,荒唐無稽（こうとうむけい）
行動半径,こうどうはんけい,船舶や航空機などが途中で補給せずに往復できる距離のこと。 または、人や動物が行動する範囲のこと。 「半径」は中心を出発点とした、外周までの距離。,,,,
荒唐不稽,こうとうふけい,根拠もなにもなく非現実的なこと。 「荒唐」はでたらめなこと。 「不稽」は考えるべき根拠がまるでないこと。,,,,奇異荒唐（きいこうとう） 荒誕無稽（こうたんむけい） 荒唐無稽（こうとうむけい） 妄誕無稽（もうたんむけい）
厚徳載福,こうとくさいふく,高い徳がある人は、幸福を身に受けること。 または、幸福を受けられること。 「厚徳」は高い徳があること。 「載福」は幸福を身に受けること。,,,,妄誕無稽（もうたんむけい）
黄白青銭,こうはくせいせん,金銭のこと。 「黄」は金、金貨。 「白」は銀、銀貨。 「青」は青銅、銅貨。,,,,
句駮省便,こうはくせいべん,財政をしっかりと管理して、収入と支出を正確にすること。 「句」は収入と支出を正確に調べること。 「駮」は書類を調べて不正を論じ暴くこと。 「省」は節約すること。 「便」は流通を便利にして、利益を得ること。 「句剥省便」とも書く。,句剥省便（こうはくせいべん）,『資治通鑑』「唐紀・玄宋・開元二一年」,,
巧発奇中,こうはつきちゅう,すぐれた発言で、他者の気持ちや事実を言い当てること。 「奇」はすばらしいや、すぐれているという意味。 「中」は当たること。,,『史記』「孝武紀」,,
落花流水,らっかりゅうすい,落ちる花と流れていく水のことで、過ぎていく春のこと。 または、人や物がおちぶれること。 または、男女の気持ちが通じ合うことのたとえ。 流水に花が落ちれば、花を浮かせたまま流れていくように、男に慕う心があれば、女にも情が生じ男を受け入れるという意味から。 「流水落花」ともいう。,流水落花（りゅうすいらっか）,高駢「訪隠者不遇」,５,
向壁虚造,こうへききょぞう,存在しないものを作り出すこと。 壁に向かって考えて、実際には存在しないものを思い浮かべるという意味から。 中国の前漢の時代、孔子の旧家の壁から『礼記』や『春秋』などの、当時から見て古文で書かれた書物が見つかり、世間の人々は勝手に書物を作って、人々を惑わそうとしたものだとそしったという故事から。 「壁に向かいて虚造す」とも読む。,,許慎『説文解字叙』,,
厚貌深情,こうぼうしんじょう,真面目で正直そうな顔つきだが、本心は深い部分に隠していること。 または、その隠している本心のこと。 「厚貌」は真面目で正直に見える顔つき。 「深情」は奥深くに隠した本心。,,『荘子』「列禦寇」,,
荒亡之行,こうぼうのおこない,自分の楽しみだけに夢中になり、他を顧みない荒れた行い。 「荒亡」は狩猟や酒、女遊びに夢中になり、目的を見失うこと。または、為政者が人々に無駄な負担を強制して、本人は遊び呆けること。,,"『孟子』「梁恵王・下』,『管子』「戒」",,流連荒亡（りゅうれんこうぼう）
高邁闊達,こうまいかったつ,他の人よりも一際すぐれていて、大らかなこと。 「高邁」は品格が高く、他の人よりもすぐれていること。 「闊達」は小さなことにこだわらない、大らかなこと。,,,,
毫末遺漏,ごうまついろう,ほんの少し、抜けがあること。 「毫末」は細い毛の先の先という意味から、ほんの少しという意味。 毛の先ほどのほんの少しの漏れという意味から。 「豪末遺漏」とも書く。,豪末遺漏（ごうまついろう）,,,
傲慢不羈,ごうまんふき,人を見下して偉そうな態度で、誰にも縛られないこと。 「傲慢」は人を見下し、偉そうな態度をとること。 「不羈」は誰にも縛られないこと。または、すぐれた才能があり、自由に振舞うこと。,,,,
傲慢磊落,ごうまんらいらく,人を見下して偉そうな態度で、小さなことをないがしろにすること。 「傲慢」は偉そうに他者を見下す態度のこと。 「磊落」は心が広く、小さなことにこだわらないこと。,,,,
光明遍照,こうみょうへんじょう,仏や聖者、仏塔などから輝き出る光が、世界の全てを隅々まで照らし出すこと。 「光明」は仏から発せられる慈悲の光。 「遍照」は全てを照らすこと。 仏の慈悲は、念仏をする全ての人々を全て救い、決して見捨てないということ。,,『観無量寿経』,,
乱離骨灰,らりこっぱい（らりこはい）,めちゃめちゃになっている様子のこと。 「乱離」はばらばらになること。 「骨灰」は粉々に砕けること。,乱離骨灰（らりこはい）,,,乱離拡散（らんりかくさん）
功名利禄,こうみょうりろく（こうめいりろく）,名誉と利益。 「功名」は名誉、名声。 「利禄」は給料を受けること。または、利益のこと。,功名利禄（こうめいりろく）,,,
公門桃李,こうもんのとうり,政府の官職に、すぐれた能力のある人材が集まっていることのたとえ。 「公門」は政府や役所のこと。 「桃李」は植物のももやすもものこと。 ももやすももは夏には涼しい木陰を生み、秋には食べられる実をつけるということから、人の役に立つすぐれた才能のある人のたとえ。,,『資治通鑑』「唐紀・則天后・久視元年」,,
蛟竜雲雨,こうりょううんう（こうりゅううんう）,能力を発揮する機会の無かった英雄や豪傑が、機会を得て能力を発揮することのたとえ。 「蛟竜」は水中にすむとされる中国古代の想像上の動物。 水中にすむ蛟竜は雲や雨を得ればそれに乗って天に昇り竜になるといわれることから。 「蛟竜雲雨を得」を略した言葉。,蛟竜雲雨（こうりゅううんう）,『呉志』「周瑜伝」,,雲蒸竜変（うんじょうりょうへん）
悪因苦果,あくいんくか,元は仏教語で、悪いことをすると必ず悪い報いがあるという意味。 「悪因」は悪い報いの原因、「苦果」は悪い結果や報いということ。 悪いことをせずに、正しいことをするべきであるという戒めの言葉。,,,,悪因悪果（あくいんあっか） 因果応報（いんがおうほう） 天罰覿面（てんばつてきめん）
黄粱之夢,こうりょうのゆめ,人の世界での繁栄は儚いということのたとえ。 または、人の人生が儚いことのたとえ。 「黄粱」は穀物の大粟の別名。 唐の盧生という人が、旅の途中の邯鄲の町で、道士から出世が叶うという枕を借りて寝ると、出世して財力や権力を手に入れる夢を見た。 目が覚めると、宿の主人に頼んでいた、粟のかゆが出来上がっていないほどのわずかな時間しか過ぎていなかったという故事から。,,,,一炊之夢（いっすいのゆめ） 栄華之夢（えいがのゆめ） 邯鄲之枕（かんたんのまくら） 邯鄲之夢（かんたんのゆめ） 盧生之夢（ろせいのゆめ）
孤影飄零,こえいひょうれい,資産や地位、身分などを失い、孤独でさびしげな様子。 「孤影」は一人きりでさびしげな様子。 「飄零」は落ちぶれること。 「孤影漂零」とも書く。,孤影漂零（こえいひょうれい）,,,孤影悄然（こえいしょうぜん）
呉越之富,ごえつのとみ,財産が極めて多くあることのたとえ。 「呉」と「越」はどちらも中国の春秋時代の国の名前。 呉と越の国の財産を合わせたほどの莫大な財産ということから。,,『史記』「楚世家」,,猗頓之富（いとんのとみ） 陶朱猗頓（とうしゅいとん）
五角六張,ごかくろくちょう,何をしてもうまくいかない縁起の悪い日のたとえ。 または、物事がうまく進まないこと。 正座によって二十八方位に分割したものの中の二つ、「角」と「張」のことで、どちらも物事がうまく進まない日とされている。 五日に角宿にあい、六日に張宿にあうという意味から。,,『開天伝信記』,,
鼓旗相当,こきそうとう,力が互角なこと。 「鼓旗」は太鼓と軍旗のことから、軍隊のたとえ。 敵と味方の力が釣り合っているという意味から。,,,,旗鼓相当（きこそうとう）
鼓琴之悲,こきんのかなしみ,親友の死に対する悲しみのこと。 「鼓琴」は琴を奏でること。 中国の晋の時代の顧栄が死んだ時に、親友の張翰が葬儀に参列し、顧栄が愛用していた琴を泣きながら弾いて、故人を偲んだという故事から。,,『世説新語』「傷逝」,,
嵐影湖光,らんえいここう,山水の美しい景色の形容。 山の新鮮な精気と湖面の輝きのこと。 「嵐影」は山に立ち込める精気、「湖光」は湖に日の光りが当たって輝くこと。,,邵長衡「夜遊孤山記」,準１,山紫水明（さんしすいめい） 山清水秀（さんせいすいしゅう） 山明水秀（さんめいすいしゅう） 水紫山明（すいしさんめい）
国威発揚,こくいはつよう,国家が国外へ威光を示すこと。 「国威」は国家の威光を奮い立たせて、外へ示すこと。 「発揚」は勢いを盛んにすること。,,,,
黒雲白雨,こくうんはくう,空が黒い雲に覆われて、激しい雨が降ってくること。 「白雨」は一時的に降る激しい雨。,,蘇軾「六月二十七日望湖楼酔書」,,
極大苦悩,ごくだいくのう,この上なく大きな悩みや苦しみのこと。 「極大」は非常に大きいこと。,,,,
黒甜郷裏,こくてんきょうり,昼寝。 「黒甜」は昼寝。または、ぐっすりと眠ること。 「裏」は中という意味。 昼寝の夢の世界の中という意味から。 「黒甜郷裡」とも書く。,黒甜郷裡（こくてんきょうり）,,,
国民主権,こくみんしゅけん,国家を統治するための、最も大きな権力は国民が持っているという考え。 「主権」は国家の最も大きい権力。,,,,
鵠面鳩形,こくめんきゅうけい,飢えて痩せ細っている人の様子。 「鵠面」は鳥のくぐいのようにやせほそった顔のこと。 「鳩形」は鳩のように腹がへこんでいて、胸が突き出た体型のこと。 「鳩形鵠面」ともいう。,鳩形鵠面（きゅうけいこくめん）,『明史』「忠義伝」,,鳥面鵠形（ちょうめんこくけい）
古言古義,こげんこぎ,昔から伝わっている格言や金言のこと。 「古義」は昔から伝えられているものの意味を明らかにすること。,,,,
股肱羽翼,ここううよく,主君を補佐する人のこと。 「股肱」は手足のことで、一番信頼できる人物のたとえ。 「羽翼」は鳥の羽と翼のことから、左右から助けること、補佐のたとえ。,,『六韜』「竜韜・王翼」,,股肱之臣（ここうのしん）
蘭桂騰芳,らんけいとうほう,子孫が繁栄することのたとえ。 植物の「蘭」と「桂」が立派に成長して香り立つという意味から。,,,準１,蘭薫桂馥（らんくんけいふく）
